Moisture,ADC,Temperature,Humidity,crop,original_moisture,target_source
11.2,2928,29.3,53.0,Groundnut,11.2,custom_meter
10.47,2931,29.0,53.0,Groundnut,10.47,custom_meter
10.47,2931,29.6,53.0,Groundnut,10.47,custom_meter
11.44,2927,29.7,53.0,Groundnut,11.44,custom_meter
15.39,2910,29.4,53.0,Groundnut,15.39,custom_meter
18.4,2896,29.0,53.0,Groundnut,18.4,custom_meter
11.44,2927,29.6,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.7,53.0,Groundnut,11.44,custom_meter
4.22,2955,29.4,53.0,Groundnut,4.22,custom_meter
16.28,2906,29.5,53.0,Groundnut,16.28,custom_meter
11.2,2928,29.5,53.0,Groundnut,11.2,custom_meter
11.44,2927,29.7,53.0,Groundnut,11.44,custom_meter
11.44,2927,29.9,53.0,Groundnut,11.44,custom_meter
16.49,2905,29.3,53.0,Groundnut,16.49,custom_meter
11.44,2927,29.8,53.0,Groundnut,11.44,custom_meter
11.68,2926,29.3,53.0,Groundnut,11.68,custom_meter
13.58,2918,29.2,53.0,Groundnut,13.58,custom_meter
18.4,2896,29.8,53.0,Groundnut,18.4,custom_meter
8.96,2937,29.4,53.0,Groundnut,8.96,custom_meter
9.97,2933,29.5,53.0,Groundnut,9.97,custom_meter
9.47,2935,29.7,53.0,Groundnut,9.47,custom_meter
11.2,2928,29.9,53.0,Groundnut,11.2,custom_meter
11.2,2928,29.3,53.0,Groundnut,11.2,custom_meter
13.58,2918,29.4,53.0,Groundnut,13.58,custom_meter
10.47,2931,29.1,53.0,Groundnut,10.47,custom_meter
0.85,2967,29.8,53.0,Groundnut,0.85,custom_meter
16.06,2907,29.4,53.0,Groundnut,16.06,custom_meter
-14.97,3017,29.6,53.0,Groundnut,-14.97,custom_meter
9.72,2934,29.7,53.0,Groundnut,9.72,custom_meter
11.44,2927,29.8,53.0,Groundnut,11.44,custom_meter
13.34,2919,29.9,53.0,Groundnut,13.34,custom_meter
12.64,2922,29.3,53.0,Groundnut,12.64,custom_meter
-12.92,3011,29.2,53.0,Groundnut,-12.92,custom_meter
18.4,2896,29.8,53.0,Groundnut,18.4,custom_meter
11.2,2928,29.4,53.0,Groundnut,11.2,custom_meter
9.47,2935,29.5,53.0,Groundnut,9.47,custom_meter
11.2,2928,29.7,53.0,Groundnut,11.2,custom_meter
13.81,2917,29.7,53.0,Groundnut,13.81,custom_meter
11.2,2928,29.0,53.0,Groundnut,11.2,custom_meter
